user_id,item_id,interaction_date,rating,interaction_type,reading_progress
0,73,2024-04-25,4.2,rate,60
0,192,2023-08-25,3.3,rate,23
0,276,2023-09-22,1.9,view,94
0,354,2024-06-26,4.4,save,38
0,592,2024-03-27,3.4,purchase,40
0,933,2024-11-19,1.2,view,67
0,1150,2023-10-08,2.4,purchase,80
0,1523,2024-10-11,2.0,rate,34
0,1550,2024-06-14,3.5,purchase,84
0,1589,2023-10-09,4.8,view,14
0,1668,2023-11-29,4.7,view,92
0,1718,2024-06-21,1.7,purchase,84
0,1741,2024-05-25,3.2,purchase,72
0,1974,2024-06-24,1.0,view,37
0,2079,2023-07-31,2.9,purchase,31
0,2082,2023-12-17,3.5,save,12
0,2212,2024-04-13,4.3,save,41
0,2289,2024-12-03,2.1,rate,1
0,2541,2024-02-07,1.9,view,17
0,2557,2024-12-12,4.6,save,6
0,2567,2024-05-02,1.2,view,82
0,2573,2023-07-03,3.2,view,1
0,2765,2023-12-07,2.8,view,54
0,2844,2024-03-28,3.7,view,98
0,2863,2023-09-12,3.6,rate,20
0,2958,2023-12-22,2.7,rate,29
0,3107,2024-12-13,4.7,rate,1
0,3354,2024-03-24,3.5,save,19
0,3366,2024-11-22,2.7,purchase,40
0,3388,2023-10-29,1.2,save,43
0,3418,2024-04-10,4.2,rate,25
0,3624,2024-03-14,3.1,rate,77
0,4366,2024-08-10,5.0,save,30
0,4528,2024-06-05,2.9,rate,29
1,18,2024-06-13,2.3,purchase,36
1,366,2023-05-22,2.4,rate,17
1,552,2024-09-06,2.1,purchase,85
1,617,2024-01-24,3.2,save,80
1,906,2023-09-24,1.8,purchase,70
1,913,2023-06-30,4.4,purchase,28
1,1882,2023-12-13,1.7,save,73
1,1999,2023-03-19,1.4,save,32
1,2370,2023-12-31,1.7,purchase,39
1,2373,2024-11-03,2.0,save,52
1,2467,2024-11-30,1.8,rate,69
1,2471,2023-11-19,1.0,purchase,10
1,2619,2023-09-04,2.5,view,72
1,2659,2023-12-12,2.1,rate,96
1,2819,2023-03-21,1.3,purchase,61
1,3267,2023-03-09,4.1,save,55
1,3655,2024-04-12,1.5,view,16
1,3876,2023-03-10,4.9,view,89
1,3888,2024-04-19,2.2,view,64
1,3893,2024-09-17,4.0,view,49
1,3956,2024-09-12,4.8,rate,77
1,4329,2023-12-17,4.5,rate,32
1,4683,2023-11-12,3.5,purchase,84
1,4833,2024-02-05,3.5,view,70
1,4951,2024-03-24,1.8,view,32
1,4961,2023-11-20,3.7,purchase,37
1,4990,2023-06-13,4.3,save,78
2,103,2024-05-07,1.1,save,49
2,113,2024-01-28,4.9,save,91
2,360,2024-10-04,2.1,rate,52
2,465,2024-05-15,1.5,purchase,39
2,490,2024-02-05,4.9,save,65
2,610,2024-07-08,3.9,save,40
2,637,2024-06-28,1.9,rate,25
2,1008,2024-10-19,2.2,purchase,79
2,1017,2024-03-15,1.5,save,70
2,1155,2024-02-01,2.2,rate,10
2,2086,2024-01-09,2.9,purchase,15
2,2177,2024-09-19,4.8,save,70
2,2192,2024-02-21,2.8,view,98
2,2328,2024-11-18,4.3,purchase,15
2,2529,2024-02-28,3.6,purchase,73
2,2531,2024-11-10,3.2,save,6
2,2975,2024-03-24,4.4,view,64
2,3036,2024-03-26,1.7,view,29
2,3051,2024-04-16,4.3,view,96
2,3219,2024-07-22,1.3,purchase,88
2,3231,2024-08-04,1.5,rate,90
2,3539,2024-02-24,2.9,view,92
2,4100,2024-03-20,4.9,save,81
2,4620,2024-12-15,3.3,rate,49
2,4927,2024-08-22,2.8,rate,8
2,4960,2024-10-31,3.3,rate,8
3,173,2024-10-10,4.1,view,45
3,353,2024-10-30,1.8,purchase,45
3,376,2024-02-26,1.5,save,48
3,800,2024-03-15,4.0,purchase,4
3,934,2024-01-20,3.5,save,37
3,1116,2024-09-06,1.9,rate,35
3,1525,2024-02-03,3.3,view,31
3,1828,2024-09-02,1.9,purchase,31
3,2123,2024-08-10,3.9,purchase,65
3,2228,2024-09-28,4.6,view,80
3,2510,2024-09-17,3.6,rate,27
3,2597,2024-09-13,3.7,rate,70
3,2775,2024-02-13,1.9,purchase,26
3,3033,2023-10-24,3.0,save,97
3,3191,2024-01-29,2.3,purchase,97
3,3196,2024-04-05,1.8,save,43
3,3334,2024-08-11,4.8,save,61
3,3794,2024-10-09,1.7,view,24
3,3828,2024-11-03,3.7,purchase,16
3,4400,2024-06-06,1.8,rate,14
3,4430,2023-12-07,4.7,rate,22
3,4657,2024-10-23,2.6,purchase,39
3,4668,2024-06-16,2.0,view,83
3,4862,2024-12-15,1.1,purchase,82
4,62,2024-06-06,1.2,rate,13
4,151,2024-08-01,4.5,purchase,49
4,357,2024-08-04,2.5,purchase,13
4,425,2024-12-08,4.4,save,10
4,542,2024-12-04,2.2,save,7
4,716,2024-09-11,3.1,purchase,97
4,977,2024-08-07,3.7,rate,30
4,1171,2024-06-19,1.9,rate,35
4,1272,2024-07-24,3.8,rate,75
4,1578,2024-09-20,4.3,view,38
4,1587,2024-09-16,3.9,purchase,40
4,1608,2024-11-21,3.0,rate,79
4,1680,2024-09-18,1.1,save,48
4,2044,2024-11-06,2.8,rate,71
4,2444,2024-09-15,3.8,view,97
4,2521,2024-10-18,1.5,purchase,48
4,2811,2024-10-30,1.3,view,96
4,2873,2024-10-18,3.9,view,81
4,3046,2024-07-02,2.3,rate,24
4,3064,2024-07-18,1.6,save,44
4,3222,2024-09-08,2.6,save,67
